year,OBS,NAME,SP
2005,0.782,MRIPE,RS
2006,0.926,MRIPE,RS
2007,2.555,MRIPE,RS
2008,2.642,MRIPE,RS
2009,1.655,MRIPE,RS
2010,2.737,MRIPE,RS
2011,1.745,MRIPE,RS
2012,2.78,MRIPE,RS
2013,1.941,MRIPE,RS
2014,,MRIPE,RS
2015,,MRIPE,RS
2016,,MRIPE,RS
2017,,MRIPE,RS
2005,1.39,HBE,RS
2006,0.808,HBE,RS
2007,1.677,HBE,RS
2008,2.11,HBE,RS
2009,2.877,HBE,RS
2010,1.264,HBE,RS
2011,NA,HBE,RS
2012,0.564,HBE,RS
2013,1.63,HBE,RS
2014,NA,HBE,RS
2015,NA,HBE,RS
2016,NA,HBE,RS
2017,NA,HBE,RS
2005,0.878,MRIPW,RS
2006,0.698,MRIPW,RS
2007,1.871,MRIPW,RS
2008,1.857,MRIPW,RS
2009,2.482,MRIPW,RS
2010,3.304,MRIPW,RS
2011,2.618,MRIPW,RS
2012,1.334,MRIPW,RS
2013,1.634,MRIPW,RS
2014,NA,MRIPW,RS
2015,NA,MRIPW,RS
2016,NA,MRIPW,RS
2017,NA,MRIPW,RS
2005,0.421,HBW,RS
2006,0.495,HBW,RS
2007,0.946,HBW,RS
2008,0.979,HBW,RS
2009,1.048,HBW,RS
2010,1.101,HBW,RS
2011,1.122,HBW,RS
2012,1.255,HBW,RS
2013,1.83,HBW,RS
2014,1.397,HBW,RS
2015,2.759,HBW,RS
2016,2.124,HBW,RS
2017,NA,HBW,RS