year,bl_gt,sl_gt,fd_gt,bl_rs,sl_rs,fd_rs,bl_vs,sl_vs,fd_vs
2018,1,15,10,2,16,6,10,10,365
2019,1,15,10,2,16,6,10,10,365
2020,1,15,10,2,16,6,10,10,365
2021,1,15,10,2,16,6,10,10,365
2022,1,15,10,2,16,6,10,10,365
2023,1,15,10,2,16,6,10,10,365
2024,1,15,10,2,16,6,10,10,365
2025,1,15,10,2,16,6,10,10,365
2026,1,15,10,2,16,7,10,10,365
2027,1,15,10,2,16,7,10,10,365
2028,1,15,20,2,16,7,10,10,365
2029,1,15,20,2,16,7,10,10,365
2030,1,15,20,2,16,7,10,10,365
2031,1,15,20,2,16,7,10,10,365
2032,1,15,20,3,16,7,10,10,365
2033,1,15,20,3,16,7,10,10,365
2034,1,15,20,3,16,8,10,10,365
2035,1,15,20,3,16,8,10,10,365
2036,1,15,20,3,16,8,10,10,365
2037,1,15,20,3,16,8,10,10,365
2038,1,15,20,3,16,8,10,10,365
2039,1,15,30,3,16,8,10,10,365
2040,1,15,30,3,16,8,10,10,365
2041,1,15,30,4,16,8,10,10,365
2042,1,15,30,4,16,9,10,10,365
2043,1,15,30,4,16,9,10,10,365
2044,1,15,30,4,16,9,10,10,365
2045,1,15,30,4,16,9,10,10,365
2046,1,15,30,4,16,9,10,10,365
2047,1,15,30,4,16,9,10,10,365
2048,1,15,30,4,16,9,10,10,365
2049,1,15,30,4,16,9,10,10,365
2050,2,14,40,5,16,10,10,10,365
2051,2,14,40,5,16,10,10,10,365
2052,2,14,40,5,16,10,10,10,365
2053,2,14,40,5,16,10,10,10,365
2054,2,14,40,5,16,10,10,10,365
2055,2,14,40,5,16,20,10,10,365
2056,3,14,60,5,16,20,10,10,365
2057,3,14,60,5,16,20,10,10,365
2058,3,14,60,5,16,20,10,10,365
2059,3,14,60,5,16,20,10,10,365
2060,3,14,80,5,16,30,10,10,365
2061,3,14,80,5,16,30,10,10,365
2062,3,14,80,5,16,30,10,10,365
2063,3,14,80,5,16,30,10,10,365
2064,3,14,100,5,16,30,10,10,365
2065,3,14,100,5,16,40,10,10,365
2066,3,14,100,5,16,40,10,10,365
2067,3,14,100,5,16,40,10,10,365
2068,3,14,100,5,16,40,10,10,365