Estimate Status,Year,Wave,State,Common Name,Fishing Mode,Fishing Area,Observed Harvest (A),PSE,Reported Harvest (B1),PSE,Released Alive (B2),PSE
FINAL,2000,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,93,83.3,0,.,74,97.5
FINAL,2000,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,257,105.1,0,.,0,.
FINAL,2000,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,7187,39,34,101.7,254,97.6
FINAL,2000,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,5851,96.4,0,.,0,.
FINAL,2000,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3166,56.5,0,.,29,98
FINAL,2000,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,24740,36.4,330,100.9,4850,94.2
FINAL,2000,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,6410,100,0,.,0,.
FINAL,2000,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,8469,46,0,.,0,.
FINAL,2000,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,9370,53.4,0,.,7332,71.6
FINAL,2000,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3389,62.7,0,.,0,.
FINAL,2000,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,13822,30.5,75,99.9,1134,63.6
FINAL,2000,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,2744,97.6
FINAL,2000,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,3550,63.7,0,.,66,103.7
FINAL,2000,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,961,98.6,0,.,0,.
FINAL,2000,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,861,97.2
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1927,46.8,0,.,212,93.2
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,16064,27.7,0,.,0,.
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,1851,98.5,16789,98.5,0,.
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,54728,66.5,16019,69.3,10303,86.9
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,2101,99.7
FINAL,2000,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,765,58.3,0,.,141,100.1
FINAL,2000,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,1302,97,0,.,0,.
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,841,41.4,0,.,24,100.2
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,30026,25.1,123,99.2,2000,44.9
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,844,99.3
FINAL,2000,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,453,69.7,0,.,0,.
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,575,64.8,0,.,0,.
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,8985,65.5,0,.,17,99.1
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,14197,100
FINAL,2000,NOVEMBER/DECEMBER,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,6971,100.7
FINAL,2001,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,152,86.9,0,.,64,98.6
FINAL,2001,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,2175,104.3,0,.,0,.
FINAL,2001,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,1644,49.2,0,.,21,92.1
FINAL,2001,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,0,.,0,.,4623,92.2
FINAL,2001,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,0,325,87.1,0,.,0,.
FINAL,2001,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,20468,28.3,66,98.2,139,99.9
FINAL,2001,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,47212,73,0,.,0,.
FINAL,2001,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1047,41.4,0,.,0,.
FINAL,2001,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,17731,24.8,0,.,493,64.6
FINAL,2001,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,52321,85.2,0,.,0,.
FINAL,2001,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,187171,67.5,13573,99,0,.
FINAL,2001,MARCH/APRIL,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,6958,73.9,0,.,0,.
FINAL,2001,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,15287,58.1,0,.,0,.
FINAL,2001,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,6202,73.9,0,.,0,.
FINAL,2001,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,6191,61.3,0,.,0,.
FINAL,2001,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,49265,29.8,153,64.9,7799,79.6
FINAL,2001,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,2348,101
FINAL,2001,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,110541,52.4,25970,92.1,0,.
FINAL,2001,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,6700,38.2,0,.,692,101.1
FINAL,2001,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,19316,68.4,0,.,5766,61.3
FINAL,2001,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1066,46.6,0,.,0,.
FINAL,2001,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,12789,27.4,0,.,1198,63.9
FINAL,2001,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,56854,89.9,0,.,20715,98.9
FINAL,2001,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,188905,72.2,0,.,44361,71.6
FINAL,2001,JULY/AUGUST,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,8800,98.6,0,.,0,.
FINAL,2001,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,633,51,0,.,0,.
FINAL,2001,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,12568,68.6,0,.,3186,96.3
FINAL,2001,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,2283,41.4,0,.,118,100.1
FINAL,2001,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,17219,24.9,0,.,1060,48.4
FINAL,2001,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,28629,97.2,22877,97.2
FINAL,2001,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,84,98.4,0,.,0,.
FINAL,2001,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,69862,43.3,14612,68,0,.
FINAL,2001,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,691,68.4,0,.,0,.
FINAL,2001,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,5023,57.2,0,.,546,74.5
FINAL,2001,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,3288,99.8
FINAL,2002,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,1042,62.5,0,.,0,.
FINAL,2002,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,17958,89.3,0,.,0,.
FINAL,2002,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,139,62.4,0,.,0,.
FINAL,2002,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,1441,53.7,0,.,53,99.2
FINAL,2002,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,53769,65.5,30371,97.5,0,.
FINAL,2002,JANUARY/FEBRUARY,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,65,75.9,0,.,0,.
FINAL,2002,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,9917,34,62,101.9,257,95.7
FINAL,2002,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,113058,55.6,0,.,0,.
FINAL,2002,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,SHORE,2,0,.,0,.,5887,100.3
FINAL,2002,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,2646,63.9,0,.,0,.
FINAL,2002,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,6357,44.9,0,.,0,.
FINAL,2002,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,17629,88.4,0,.,0,.
FINAL,2002,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,0,.,0,.,20445,101.5
FINAL,2002,MARCH/APRIL,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,31,79.6,118,83,0,.
FINAL,2002,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,6056,71.5,0,.,419,100.5
FINAL,2002,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,11742,54.5,5881,104.6,0,.
FINAL,2002,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1540,43.8,0,.,0,.
FINAL,2002,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,9716,41.5,0,.,230,78.3
FINAL,2002,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,7289,73.5,0,.,0,.
FINAL,2002,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,326731,60.4,52012,71.6,204078,54
FINAL,2002,MAY/JUNE,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,421,81.9,0,.,0,.
FINAL,2002,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,963,40.4,0,.,0,.
FINAL,2002,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,0,1553,88.6,0,.,0,.
FINAL,2002,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,15341,69.2,12616,95.8,14088,87
FINAL,2002,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,6847,33.4,0,.,239,102.2
FINAL,2002,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,18753,27.6,61,98.8,292,68.5
FINAL,2002,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,2512,74.5,3437,98.3,6874,86.6
FINAL,2002,JULY/AUGUST,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,7951,78.7,0,.,0,.
FINAL,2002,JULY/AUGUST,MISSISSIPPI,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,0,.,0,.,1421,94.1
FINAL,2002,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,6860,43.6,0,.,0,.
FINAL,2002,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,2726,48,0,.,0,.
FINAL,2002,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,17168,26.7,0,.,593,64.8
FINAL,2002,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,51304,80.7,5363,101.3,37597,69.7
FINAL,2002,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,910,64.6,57,100.9,25,100.9
FINAL,2002,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,14245,67.4,3585,95.4,0,.
FINAL,2002,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1408,71.1,0,.,532,102.6
FINAL,2002,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,4569,49.1,57,100.4,0,.
FINAL,2002,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,39409,70,5703,100,0,.
FINAL,2003,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,0,49,98.4,0,.,0,.
FINAL,2003,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,948,53.9,0,.,0,.
FINAL,2003,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,1817,37.1,109,99.3,398,105.1
FINAL,2003,JANUARY/FEBRUARY,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,889,57.8,12,92.4,0,.
FINAL,2003,JANUARY/FEBRUARY,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,9211,82.6,0,.,0,.
FINAL,2003,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,12781,57.1,0,.,0,.
FINAL,2003,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,6926,85.8,0,.,2409,85.8
FINAL,2003,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,131,77.8,0,.,0,.
FINAL,2003,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,6569,37.7,147,101.4,259,85.2
FINAL,2003,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,19219,100.3
FINAL,2003,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,49475,58.9,0,.,112357,94.2
FINAL,2003,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,8188,68.8,0,.,0,.
FINAL,2003,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,1016,108.8,0,.,0,.
FINAL,2003,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3457,53.9,0,.,243,69.8
FINAL,2003,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,13632,22.6,0,.,188,91.7
FINAL,2003,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,111656,91.6,0,.,14147,99.3
FINAL,2003,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,117853,51.5,0,.,28044,67.1
FINAL,2003,MAY/JUNE,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,278,71.1,0,.,0,.
FINAL,2003,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,6288,38.5,0,.,186,96.8
FINAL,2003,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,0,576,106.7,0,.,0,.
FINAL,2003,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,27862,49.1,0,.,0,.
FINAL,2003,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3348,32.9,0,.,0,.
FINAL,2003,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,35822,28.7,139,76.5,454,80.5
FINAL,2003,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,20431,100.2,35887,96.6,19575,96.6
FINAL,2003,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,138563,69.2,21507,88.7,86711,65
FINAL,2003,JULY/AUGUST,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,267,102.6,0,.,0,.
FINAL,2003,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,SHORE,0,0,.,0,.,17057,94.6
FINAL,2003,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,4148,47.1,0,.,0,.
FINAL,2003,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1011,50.5,0,.,156,75.1
FINAL,2003,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,25772,24.5,778,89.4,1361,65.2
FINAL,2003,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,1988,95.9,0,.,4061,96.2
FINAL,2003,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,59380,69.8,0,.,15026,94.9
FINAL,2003,SEPTEMBER/OCTOBER,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,0,.,4098,93.4,0,.
FINAL,2003,SEPTEMBER/OCTOBER,MISSISSIPPI,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,1441,79.9,0,.,0,.
FINAL,2003,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,1471,62.6,0,.,0,.
FINAL,2003,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,18296,78.6,0,.,0,.
FINAL,2003,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1366,41.5,24,100.2,47,71.4
FINAL,2003,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,3138,50.5,48,91.1,115,76
FINAL,2003,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,7168,97.5,0,.,0,.
FINAL,2004,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,973,61.3,1064,99.8,54,86
FINAL,2004,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,1990,27.1,0,.,235,101.6
FINAL,2004,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,2436,105.5,0,.,0,.
FINAL,2004,JANUARY/FEBRUARY,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,39,106.1,0,.,0,.
FINAL,2004,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,0,36,114.8,0,.,0,.
FINAL,2004,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,18774,39.1,10202,81.5,658,55.3
FINAL,2004,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,0,2502,103.7,0,.,0,.
FINAL,2004,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,614,106.6,0,.,0,.
FINAL,2004,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,11716,27.9,0,.,591,61.6
FINAL,2004,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,22370,25,729,45,1427,44.4
FINAL,2004,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,13348,97.3,0,.,0,.
FINAL,2004,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,16816,101.5,18826,93.4,9563,92
FINAL,2004,MARCH/APRIL,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,1033,79.7,0,.,0,.
FINAL,2004,MARCH/APRIL,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,2511,104.1,0,.,0,.
FINAL,2004,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,19814,33.2,0,.,713,102.5
FINAL,2004,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,21755,59.1,20917,95,8173,94.3
FINAL,2004,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,7280,54.1,0,.,599,94.7
FINAL,2004,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,50214,17.7,14,100.2,7987,36.9
FINAL,2004,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,56854,54.5,8334,73.1,40934,61.4
FINAL,2004,MAY/JUNE,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,568,63.4,0,.,0,.
FINAL,2004,MAY/JUNE,MISSISSIPPI,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,6065,98.4,0,.,0,.
FINAL,2004,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,34273,41.9,0,.,6658,96.9
FINAL,2004,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,4696,34.1,7568,99.7,923,61.5
FINAL,2004,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,44614,29.5,0,.,3638,43
FINAL,2004,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,15041,62.6,1102,100.7,7716,100.7
FINAL,2004,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,130900,47.7,19770,92.4,65875,59.7
FINAL,2004,JULY/AUGUST,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,18496,52,0,.,0,.
