Year,bl_vs,sl_vs,fd_vs,bl_rs,sl_rs,fd_rs,cfd_rs,bl_gt,sl_gt,fd_gt
2006,10,11,365,5,16,194,194,20,12,365
2007,10,11,365,5,16,194,194,20,12,365
2008,10,10,365,2,16,65,65,20,14,365
2009,10,10,365,2,16,75,75,20,14,365
2010,10,10,365,2,16,53,77,20,14,365
2011,10,10,365,2,16,48,48,20,14,365
2012,10,10,365,2,16,46,46,20,14,181
2013,10,10,365,2,16,42,42,2,14,304
2014,10,10,365,2,16,9,9,2,14,304
2015,10,10,365,2,16,10,44,2,14,304
2016,10,10,365,2,16,11,46,2,14,38
2017,10,10,365,2,16,42,49,2,14,151
2018,10,10,365,2,16,6,51,1,15,10