WAVE,ST,AREA_X,RATIO
1,1,5,0.58
1,1,1,1.96
1,1,2,1.41
1,12,5,18.56
1,12,3,0.89
1,12,4,1.08
1,28,5,0.21
1,28,1,1.07
1,28,2,0.22
2,1,5,1.24
2,1,1,0.8
2,1,2,3.96
2,12,5,9.13
2,12,3,1.79
2,12,4,1.17
2,28,5,1.96
2,28,1,1.51
2,28,2,2.3
3,1,5,1.02
3,1,1,1.44
3,1,2,1.87
3,12,5,5.66
3,12,3,1.55
3,12,4,1.21
3,28,5,2.56
3,28,1,1.93
3,28,2,2.01
4,1,5,1.65
4,1,1,1.25
4,1,2,1.39
4,12,5,17.37
4,12,3,1.81
4,12,4,1.12
4,28,5,1.47
4,28,1,3.02
4,28,2,2.45
5,1,5,1.06
5,1,1,0.44
5,1,2,0.66
5,12,5,2.48
5,12,3,0.74
5,12,4,0.85
5,28,5,2.48
5,28,1,1.5
5,28,2,1.16
6,1,5,0.49
6,1,1,0.17
6,1,2,0.29
6,12,5,1.51
6,12,3,0.81
6,12,4,0.81
6,28,5,0.72
6,28,1,0.22
6,28,2,0.3